"condition","num_agents","rounds","llm_agents","use_llm","model","average_contribution","std_contribution","average_payoff","std_payoff","average_prediction_error","num_predictions","num_api_errors","final_round_average_contribution"
"baseline","30","200","0","False","","4.9018","2.8553","12.9411","2.8457","","0","0","4.8667"
"baseline","30","200","0","False","","4.8795","2.8709","12.9277","2.8593","","0","0","4.8"
"baseline","30","200","0","False","","4.8727","2.8369","12.9236","2.8282","","0","0","5.2333"
"belief_mixed","30","200","0","False","","1.916","0.9836","11.1496","0.9002","0.5732","69600","0","1.8333"
"belief_mixed","30","200","0","False","","1.9008","0.9732","11.1405","0.8936","0.5631","69600","0","1.8"
"belief_mixed","30","200","0","False","","1.912","0.9747","11.1472","0.8969","0.5604","69600","0","1.7"
"llm_notom_mixed","30","80","6","True","llama-3.3-70b-versatile","5.2392","2.3889","13.1435","2.3809","0.9602","23146","478","5.0"
"llm_notom_mixed","30","80","6","True","llama-3.3-70b-versatile","5.2579","2.4117","13.1548","2.4027","0.9678","23146","478","5.0667"
"llm_notom_mixed","30","80","6","True","llama-3.3-70b-versatile","5.2996","2.454","13.1797","2.4453","0.9931","23144","478","5.7"
"llm_tom_mixed","30","80","6","True","llama-3.3-70b-versatile","5.2396","2.3891","13.1438","2.3812","0.9586","23132","477","5.0333"
"llm_tom_mixed","30","80","6","True","llama-3.3-70b-versatile","5.26","2.4124","13.156","2.4039","0.966","22534","454","5.1667"
"llm_tom_mixed","30","80","6","True","llama-3.3-70b-versatile","5.2988","2.4547","13.1793","2.4455","0.9897","23149","478","5.7333"
