"condition","round_id","num_agents","total_contribution","average_contribution","std_contribution","average_payoff","std_payoff","average_prediction_error","num_predictions"
"baseline","1","30","156","5.2","3.1448","13.12","3.1448","","0"
"baseline","2","30","140","4.6667","2.9866","12.8","2.9866","","0"
"baseline","3","30","161","5.3667","2.7852","13.22","2.7852","","0"
"baseline","4","30","149","4.9667","3.1126","12.98","3.1126","","0"
"baseline","5","30","158","5.2667","3.1176","13.16","3.1176","","0"
"baseline","6","30","135","4.5","2.4176","12.7","2.4176","","0"
"baseline","7","30","156","5.2","2.8816","13.12","2.8816","","0"
"baseline","8","30","147","4.9","2.9752","12.94","2.9752","","0"
"baseline","9","30","139","4.6333","2.8221","12.78","2.8221","","0"
"baseline","10","30","148","4.9333","2.8519","12.96","2.8519","","0"
"baseline","11","30","153","5.1","2.6044","13.06","2.6044","","0"
"baseline","12","30","140","4.6667","3.021","12.8","3.021","","0"
"baseline","13","30","153","5.1","3.1986","13.06","3.1986","","0"
"baseline","14","30","134","4.4667","2.5962","12.68","2.5962","","0"
"baseline","15","30","147","4.9","2.5643","12.94","2.5643","","0"
"baseline","16","30","142","4.7333","2.9935","12.84","2.9935","","0"
"baseline","17","30","150","5","3.0057","13.0","3.0057","","0"
"baseline","18","30","147","4.9","2.7712","12.94","2.7712","","0"
"baseline","19","30","137","4.5667","2.5955","12.74","2.5955","","0"
"baseline","20","30","156","5.2","2.9642","13.12","2.9642","","0"
"baseline","21","30","146","4.8667","2.3596","12.92","2.3596","","0"
"baseline","22","30","149","4.9667","3.439","12.98","3.439","","0"
"baseline","23","30","145","4.8333","2.8172","12.9","2.8172","","0"
"baseline","24","30","135","4.5","3.1921","12.7","3.1921","","0"
"baseline","25","30","144","4.8","2.7342","12.88","2.7342","","0"
"baseline","26","30","149","4.9667","2.8465","12.98","2.8465","","0"
"baseline","27","30","137","4.5667","3.1369","12.74","3.1369","","0"
"baseline","28","30","131","4.3667","2.7478","12.62","2.7478","","0"
"baseline","29","30","138","4.6","3.0581","12.76","3.0581","","0"
"baseline","30","30","145","4.8333","2.7803","12.9","2.7803","","0"
"baseline","31","30","135","4.5","2.5291","12.7","2.5291","","0"
"baseline","32","30","154","5.1333","2.8007","13.08","2.8007","","0"
"baseline","33","30","143","4.7667","2.7251","12.86","2.7251","","0"
"baseline","34","30","158","5.2667","2.8999","13.16","2.8999","","0"
"baseline","35","30","150","5","2.5731","13.0","2.5731","","0"
"baseline","36","30","156","5.2","3.0783","13.12","3.0783","","0"
"baseline","37","30","150","5","2.9243","13.0","2.9243","","0"
"baseline","38","30","145","4.8333","3.1413","12.9","3.1413","","0"
"baseline","39","30","143","4.7667","2.7503","12.86","2.7503","","0"
"baseline","40","30","152","5.0667","2.7283","13.04","2.7283","","0"
"baseline","41","30","132","4.4","2.8113","12.64","2.8113","","0"
"baseline","42","30","132","4.4","2.7743","12.64","2.7743","","0"
"baseline","43","30","133","4.4333","2.9324","12.66","2.9324","","0"
"baseline","44","30","138","4.6","2.799","12.76","2.799","","0"
"baseline","45","30","154","5.1333","2.5289","13.08","2.5289","","0"
"baseline","46","30","140","4.6667","2.9165","12.8","2.9165","","0"
"baseline","47","30","138","4.6","3.2334","12.76","3.2334","","0"
"baseline","48","30","149","4.9667","2.8706","12.98","2.8706","","0"
"baseline","49","30","138","4.6","2.7493","12.76","2.7493","","0"
"baseline","50","30","146","4.8667","2.6876","12.92","2.6876","","0"
"baseline","51","30","138","4.6","3.0468","12.76","3.0468","","0"
"baseline","52","30","152","5.0667","2.8879","13.04","2.8879","","0"
