condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
baseline,A001,CooperatorAgent,8.435,1.1587,9.4079,1.2111,,0,0
baseline,A002,DefectorAgent,1,0.8144,16.8429,0.9119,,0,0
baseline,A003,TitForTatAgent,4.92,0.3799,12.9229,0.5163,,0,0
baseline,A004,RandomAgent,4.965,3.2875,12.8779,3.1583,,0,0
baseline,A005,ConditionalAgent,4.995,0.7535,12.8479,0.8123,,0,0
baseline,A006,CooperatorAgent,8.385,1.1283,9.4579,1.1157,,0,0
baseline,A007,DefectorAgent,1.085,0.8131,16.7579,0.9056,,0,0
baseline,A008,TitForTatAgent,4.925,0.4126,12.9179,0.5363,,0,0
baseline,A009,RandomAgent,5.575,3.1423,12.2679,3.0519,,0,0
baseline,A010,ConditionalAgent,4.995,0.7124,12.8479,0.8089,,0,0
baseline,A011,CooperatorAgent,8.575,1.1183,9.2679,1.1167,,0,0
baseline,A012,DefectorAgent,0.955,0.7654,16.8879,0.9004,,0,0
baseline,A013,TitForTatAgent,4.91,0.35,12.9329,0.5043,,0,0
baseline,A014,RandomAgent,5.155,3.388,12.6879,3.2249,,0,0
baseline,A015,ConditionalAgent,5.035,0.7045,12.8079,0.8535,,0,0
baseline,A016,CooperatorAgent,8.45,1.1107,9.3929,1.1535,,0,0
baseline,A017,DefectorAgent,1.03,0.8442,16.8129,0.9545,,0,0
baseline,A018,TitForTatAgent,4.92,0.3799,12.9229,0.5163,,0,0
baseline,A019,RandomAgent,5,3.0605,12.8429,2.8974,,0,0
baseline,A020,ConditionalAgent,5.01,0.6724,12.8329,0.8005,,0,0
baseline,A021,CooperatorAgent,8.59,1.157,9.2529,1.1526,,0,0
baseline,A022,DefectorAgent,0.945,0.8399,16.8979,0.9233,,0,0
baseline,A023,TitForTatAgent,4.925,0.4126,12.9179,0.5363,,0,0
baseline,A024,RandomAgent,4.725,3.0158,13.1179,2.88,,0,0
baseline,A025,ConditionalAgent,4.98,0.7157,12.8629,0.7773,,0,0
baseline,A026,CooperatorAgent,8.485,1.1473,9.3579,1.2353,,0,0
baseline,A027,DefectorAgent,1.01,0.8144,16.8329,0.8844,,0,0
baseline,A028,TitForTatAgent,4.91,0.35,12.9329,0.5043,,0,0
baseline,A029,RandomAgent,5.195,3.1024,12.6479,3.0161,,0,0
baseline,A030,ConditionalAgent,4.97,0.7082,12.8729,0.8545,,0,0
