condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
baseline,1,30,170,5.6667,3.0096,13.4,3.0096,,0
baseline,2,30,151,5.0333,2.9064,13.02,2.9064,,0
baseline,3,30,149,4.9667,2.8221,12.98,2.8221,,0
baseline,4,30,160,5.3333,3.0775,13.2,3.0775,,0
baseline,5,30,161,5.3667,2.7353,13.22,2.7353,,0
baseline,6,30,145,4.8333,3.2386,12.9,3.2386,,0
baseline,7,30,149,4.9667,2.6972,12.98,2.6972,,0
baseline,8,30,152,5.0667,2.3625,13.04,2.3625,,0
baseline,9,30,140,4.6667,2.9517,12.8,2.9517,,0
baseline,10,30,144,4.8,3.1117,12.88,3.1117,,0
baseline,11,30,148,4.9333,2.7409,12.96,2.7409,,0
baseline,12,30,153,5.1,2.881,13.06,2.881,,0
baseline,13,30,150,5,2.9595,13.0,2.9595,,0
baseline,14,30,147,4.9,2.6955,12.94,2.6955,,0
baseline,15,30,157,5.2333,3.1588,13.14,3.1588,,0
baseline,16,30,136,4.5333,2.2397,12.72,2.2397,,0
baseline,17,30,147,4.9,3.3046,12.94,3.3046,,0
baseline,18,30,131,4.3667,2.6972,12.62,2.6972,,0
baseline,19,30,125,4.1667,2.7554,12.5,2.7554,,0
baseline,20,30,156,5.2,2.7965,13.12,2.7965,,0
baseline,21,30,131,4.3667,2.6193,12.62,2.6193,,0
baseline,22,30,139,4.6333,2.6325,12.78,2.6325,,0
baseline,23,30,132,4.4,2.5134,12.64,2.5134,,0
baseline,24,30,141,4.7,3.053,12.82,3.053,,0
baseline,25,30,140,4.6667,2.8808,12.8,2.8808,,0
baseline,26,30,157,5.2333,2.7877,13.14,2.7877,,0
baseline,27,30,148,4.9333,3.005,12.96,3.005,,0
baseline,28,30,144,4.8,3.0218,12.88,3.0218,,0
baseline,29,30,149,4.9667,2.8706,12.98,2.8706,,0
baseline,30,30,135,4.5,3.5111,12.7,3.5111,,0
baseline,31,30,133,4.4333,2.5146,12.66,2.5146,,0
baseline,32,30,144,4.8,3.1666,12.88,3.1666,,0
baseline,33,30,141,4.7,3.0075,12.82,3.0075,,0
baseline,34,30,150,5,2.9243,13.0,2.9243,,0
baseline,35,30,132,4.4,2.4155,12.64,2.4155,,0
baseline,36,30,142,4.7333,2.7156,12.84,2.7156,,0
baseline,37,30,151,5.0333,2.8343,13.02,2.8343,,0
baseline,38,30,150,5,2.6523,13.0,2.6523,,0
baseline,39,30,148,4.9333,2.9587,12.96,2.9587,,0
baseline,40,30,143,4.7667,3.0364,12.86,3.0364,,0
baseline,41,30,148,4.9333,3.0731,12.96,3.0731,,0
baseline,42,30,145,4.8333,3.0067,12.9,3.0067,,0
baseline,43,30,144,4.8,3.1006,12.88,3.1006,,0
baseline,44,30,151,5.0333,2.7976,13.02,2.7976,,0
baseline,45,30,138,4.6,2.7867,12.76,2.7867,,0
baseline,46,30,141,4.7,2.8058,12.82,2.8058,,0
baseline,47,30,145,4.8333,3.1523,12.9,3.1523,,0
baseline,48,30,137,4.5667,2.5688,12.74,2.5688,,0
baseline,49,30,145,4.8333,3.2386,12.9,3.2386,,0
baseline,50,30,150,5,3.1184,13.0,3.1184,,0
baseline,51,30,139,4.6333,3.2108,12.78,3.2108,,0
baseline,52,30,145,4.8333,2.9605,12.9,2.9605,,0
baseline,53,30,156,5.2,2.8816,13.12,2.8816,,0
baseline,54,30,136,4.5333,3.1484,12.72,3.1484,,0
baseline,55,30,150,5,3.0057,13.0,3.0057,,0
baseline,56,30,139,4.6333,3.2429,12.78,3.2429,,0
baseline,57,30,139,4.6333,2.5255,12.78,2.5255,,0
baseline,58,30,138,4.6,3.1688,12.76,3.1688,,0
baseline,59,30,149,4.9667,2.7353,12.98,2.7353,,0
baseline,60,30,152,5.0667,2.8999,13.04,2.8999,,0
baseline,61,30,144,4.8,2.9408,12.88,2.9408,,0
baseline,62,30,160,5.3333,2.5909,13.2,2.5909,,0
baseline,63,30,149,4.9667,2.8465,12.98,2.8465,,0
baseline,64,30,146,4.8667,2.8374,12.92,2.8374,,0
baseline,65,30,141,4.7,2.8303,12.82,2.8303,,0
baseline,66,30,136,4.5333,2.5015,12.72,2.5015,,0
baseline,67,30,145,4.8333,2.8897,12.9,2.8897,,0
baseline,68,30,146,4.8667,2.8736,12.92,2.8736,,0
baseline,69,30,147,4.9,2.9519,12.94,2.9519,,0
baseline,70,30,139,4.6333,2.9998,12.78,2.9998,,0
baseline,71,30,156,5.2,2.8089,13.12,2.8089,,0
baseline,72,30,149,4.9667,2.7604,12.98,2.7604,,0
baseline,73,30,156,5.2,2.9758,13.12,2.9758,,0
baseline,74,30,140,4.6667,2.4259,12.8,2.4259,,0
baseline,75,30,143,4.7667,3.2872,12.86,3.2872,,0
baseline,76,30,156,5.2,2.8696,13.12,2.8696,,0
baseline,77,30,156,5.2,2.6182,13.12,2.6182,,0
baseline,78,30,146,4.8667,2.7883,12.92,2.7883,,0
baseline,79,30,158,5.2667,2.7535,13.16,2.7535,,0
baseline,80,30,148,4.9333,2.8519,12.96,2.8519,,0
baseline,81,30,151,5.0333,2.7353,13.02,2.7353,,0
baseline,82,30,143,4.7667,3.0477,12.86,3.0477,,0
baseline,83,30,156,5.2,2.5784,13.12,2.5784,,0
baseline,84,30,147,4.9,2.6307,12.94,2.6307,,0
baseline,85,30,152,5.0667,2.5855,13.04,2.5855,,0
baseline,86,30,147,4.9,2.9048,12.94,2.9048,,0
baseline,87,30,146,4.8667,2.8495,12.92,2.8495,,0
baseline,88,30,142,4.7333,2.7908,12.84,2.7908,,0
baseline,89,30,137,4.5667,2.7251,12.74,2.7251,,0
baseline,90,30,146,4.8667,2.9447,12.92,2.9447,,0
baseline,91,30,133,4.4333,2.5554,12.66,2.5554,,0
baseline,92,30,141,4.7,2.9143,12.82,2.9143,,0
baseline,93,30,140,4.6667,2.9866,12.8,2.9866,,0
baseline,94,30,131,4.3667,2.6715,12.62,2.6715,,0
baseline,95,30,140,4.6667,3.0551,12.8,3.0551,,0
baseline,96,30,152,5.0667,3.237,13.04,3.237,,0
baseline,97,30,145,4.8333,2.5473,12.9,2.5473,,0
baseline,98,30,151,5.0333,3.0454,13.02,3.0454,,0
baseline,99,30,148,4.9333,2.7535,12.96,2.7535,,0
baseline,100,30,149,4.9667,2.6972,12.98,2.6972,,0
baseline,101,30,129,4.3,2.8786,12.58,2.8786,,0
baseline,102,30,155,5.1667,3.2279,13.1,3.2279,,0
baseline,103,30,148,4.9333,3.005,12.96,3.005,,0
baseline,104,30,146,4.8667,2.9447,12.92,2.9447,,0
baseline,105,30,145,4.8333,2.9253,12.9,2.9253,,0
baseline,106,30,142,4.7333,2.7156,12.84,2.7156,,0
baseline,107,30,153,5.1,3.2521,13.06,3.2521,,0
baseline,108,30,154,5.1333,2.968,13.08,2.968,,0
baseline,109,30,145,4.8333,3.0859,12.9,3.0859,,0
baseline,110,30,139,4.6333,2.6972,12.78,2.6972,,0
baseline,111,30,138,4.6,2.8357,12.76,2.8357,,0
baseline,112,30,158,5.2667,2.864,13.16,2.864,,0
baseline,113,30,126,4.2,2.7842,12.52,2.7842,,0
baseline,114,30,153,5.1,2.9285,13.06,2.9285,,0
baseline,115,30,151,5.0333,2.9883,13.02,2.9883,,0
baseline,116,30,150,5,3.184,13.0,3.184,,0
baseline,117,30,158,5.2667,2.5042,13.16,2.5042,,0
baseline,118,30,141,4.7,3.1089,12.82,3.1089,,0
baseline,119,30,150,5,2.8768,13.0,2.8768,,0
