condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
belief_mixed,A001,BeliefBasedAgent,2.125,0.987,10.9406,0.7889,0.572,5800,0
belief_mixed,A002,BeliefBasedAgent,2.14,0.9618,10.9256,0.7225,0.5728,5800,0
belief_mixed,A003,ConditionalAgent,2.105,0.9894,10.9606,0.8218,,0,0
belief_mixed,A004,TitForTatAgent,2.125,0.5106,10.9406,0.3739,,0,0
belief_mixed,A005,DefectorAgent,1.045,0.8285,12.0206,1.0973,,0,0
belief_mixed,A006,BeliefBasedAgent,2.12,0.9953,10.9456,0.7362,0.573,5800,0
belief_mixed,A007,BeliefBasedAgent,2.105,0.9318,10.9606,0.7511,0.5735,5800,0
belief_mixed,A008,ConditionalAgent,2.065,1.0029,11.0006,0.7987,,0,0
belief_mixed,A009,TitForTatAgent,2.13,0.5427,10.9356,0.3462,,0,0
belief_mixed,A010,DefectorAgent,0.95,0.8492,12.1156,1.1443,,0,0
belief_mixed,A011,BeliefBasedAgent,2.24,0.931,10.8256,0.7242,0.5739,5800,0
belief_mixed,A012,BeliefBasedAgent,2.275,1.0122,10.7906,0.6993,0.5734,5800,0
belief_mixed,A013,ConditionalAgent,2.13,0.9095,10.9356,0.7564,,0,0
belief_mixed,A014,TitForTatAgent,2.125,0.5106,10.9406,0.3739,,0,0
belief_mixed,A015,DefectorAgent,1.03,0.8322,12.0356,1.1277,,0,0
belief_mixed,A016,BeliefBasedAgent,2.16,0.9534,10.9056,0.7116,0.5753,5800,0
belief_mixed,A017,BeliefBasedAgent,2.14,0.946,10.9256,0.745,0.5735,5800,0
belief_mixed,A018,ConditionalAgent,2.085,0.9964,10.9806,0.7747,,0,0
belief_mixed,A019,TitForTatAgent,2.14,0.6264,10.9256,0.3315,,0,0
belief_mixed,A020,DefectorAgent,1.02,0.7955,12.0456,1.1115,,0,0
belief_mixed,A021,BeliefBasedAgent,2.22,0.9983,10.8456,0.7266,0.5714,5800,0
belief_mixed,A022,BeliefBasedAgent,2.155,0.9776,10.9106,0.7119,0.5732,5800,0
belief_mixed,A023,ConditionalAgent,2.13,1.0041,10.9356,0.6972,,0,0
belief_mixed,A024,TitForTatAgent,2.125,0.5106,10.9406,0.3739,,0,0
belief_mixed,A025,DefectorAgent,1.035,0.829,12.0306,1.1311,,0,0
belief_mixed,A026,BeliefBasedAgent,2.155,1.003,10.9106,0.7065,0.5722,5800,0
belief_mixed,A027,BeliefBasedAgent,2.17,0.9516,10.8956,0.7596,0.5739,5800,0
belief_mixed,A028,ConditionalAgent,2.115,0.952,10.9506,0.775,,0,0
belief_mixed,A029,TitForTatAgent,2.135,0.5818,10.9306,0.3315,,0,0
belief_mixed,A030,DefectorAgent,0.985,0.8174,12.0806,1.0631,,0,0
