condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
belief_mixed,1,30,158,5.2667,2.6121,13.16,2.6121,1.9655,348
belief_mixed,2,30,134,4.4667,2.1453,12.68,2.1453,1.2644,348
belief_mixed,3,30,116,3.8667,1.4559,12.32,1.4559,1.4195,348
belief_mixed,4,30,109,3.6333,1.5196,12.18,1.5196,1.1969,348
belief_mixed,5,30,112,3.7333,1.596,12.24,1.596,0.6731,348
belief_mixed,6,30,109,3.6333,1.4967,12.18,1.4967,0.8264,348
belief_mixed,7,30,112,3.7333,1.3113,12.24,1.3113,0.8358,348
belief_mixed,8,30,107,3.5667,1.4547,12.14,1.4547,0.617,348
belief_mixed,9,30,87,2.9,1.4937,11.74,1.4937,1.288,348
belief_mixed,10,30,91,3.0333,1.4499,11.82,1.4499,1.1247,348
belief_mixed,11,30,84,2.8,1.3493,11.68,1.3493,0.975,348
belief_mixed,12,30,85,2.8333,1.3667,11.7,1.3667,0.8992,348
belief_mixed,13,30,87,2.9,1.3481,11.74,1.3481,0.7571,348
belief_mixed,14,30,78,2.6,1.4044,11.56,1.4044,0.838,348
belief_mixed,15,30,88,2.9333,1.2015,11.76,1.2015,0.813,348
belief_mixed,16,30,45,1.5,1.0422,10.9,1.0422,1.4398,348
belief_mixed,17,30,47,1.5667,0.8976,10.94,0.8976,1.3644,348
belief_mixed,18,30,51,1.7,0.7944,11.02,0.7944,1.0408,348
belief_mixed,19,30,48,1.6,0.6747,10.96,0.6747,0.8681,348
belief_mixed,20,30,53,1.7667,0.6789,11.06,0.6789,0.6447,348
belief_mixed,21,30,51,1.7,0.7944,11.02,0.7944,0.6894,348
belief_mixed,22,30,51,1.7,0.8769,11.02,0.8769,0.7011,348
belief_mixed,23,30,47,1.5667,0.7279,10.94,0.7279,0.5396,348
belief_mixed,24,30,59,1.9667,0.8087,11.18,0.8087,0.5513,348
belief_mixed,25,30,53,1.7667,0.7279,11.06,0.7279,0.4644,348
belief_mixed,26,30,46,1.5333,0.6288,10.92,0.6288,0.4826,348
belief_mixed,27,30,54,1.8,0.9613,11.08,0.9613,0.5589,348
belief_mixed,28,30,53,1.7667,0.6789,11.06,0.6789,0.4498,348
belief_mixed,29,30,51,1.7,0.6513,11.02,0.6513,0.5234,348
belief_mixed,30,30,54,1.8,0.6644,11.08,0.6644,0.4799,348
belief_mixed,31,30,49,1.6333,0.8087,10.98,0.8087,0.529,348
belief_mixed,32,30,55,1.8333,0.6477,11.1,0.6477,0.4014,348
belief_mixed,33,30,53,1.7667,0.7739,11.06,0.7739,0.4887,348
belief_mixed,34,30,55,1.8333,0.7466,11.1,0.7466,0.4815,348
belief_mixed,35,30,48,1.6,0.7701,10.96,0.7701,0.5823,348
belief_mixed,36,30,56,1.8667,0.6288,11.12,0.6288,0.393,348
belief_mixed,37,30,55,1.8333,0.7915,11.1,0.7915,0.4869,348
belief_mixed,38,30,52,1.7333,0.7849,11.04,0.7849,0.5408,348
belief_mixed,39,30,60,2,0.6433,11.2,0.6433,0.3526,348
belief_mixed,40,30,60,2,0.6948,11.2,0.6948,0.5227,348
belief_mixed,41,30,52,1.7333,0.7849,11.04,0.7849,0.5082,348
belief_mixed,42,30,51,1.7,0.7497,11.02,0.7497,0.5378,348
belief_mixed,43,30,54,1.8,0.7144,11.08,0.7144,0.4465,348
belief_mixed,44,30,50,1.6667,0.7112,11.0,0.7112,0.496,348
belief_mixed,45,30,52,1.7333,0.8277,11.04,0.8277,0.5029,348
belief_mixed,46,30,54,1.8,0.6644,11.08,0.6644,0.6095,348
belief_mixed,47,30,58,1.9333,0.7849,11.16,0.7849,0.5455,348
belief_mixed,48,30,54,1.8,0.6103,11.08,0.6103,0.4553,348
belief_mixed,49,30,56,1.8667,0.6814,11.12,0.6814,0.4851,348
belief_mixed,50,30,52,1.7333,0.9072,11.04,0.9072,0.4819,348
belief_mixed,51,30,56,1.8667,0.8193,11.12,0.8193,0.4763,348
belief_mixed,52,30,57,1.9,0.8449,11.14,0.8449,0.5213,348
belief_mixed,53,30,63,2.1,0.6618,11.26,0.6618,0.4743,348
belief_mixed,54,30,56,1.8667,0.7303,11.12,0.7303,0.5082,348
belief_mixed,55,30,53,1.7667,0.8172,11.06,0.8172,0.5604,348
belief_mixed,56,30,60,2,0.6433,11.2,0.6433,0.3498,348
belief_mixed,57,30,54,1.8,0.8867,11.08,0.8867,0.5872,348
belief_mixed,58,30,59,1.9667,0.6687,11.18,0.6687,0.4995,348
belief_mixed,59,30,52,1.7333,0.9803,11.04,0.9803,0.6408,348
belief_mixed,60,30,55,1.8333,0.7915,11.1,0.7915,0.4475,348
belief_mixed,61,30,53,1.7667,0.8172,11.06,0.8172,0.4648,348
belief_mixed,62,30,56,1.8667,0.9371,11.12,0.9371,0.5309,348
belief_mixed,63,30,46,1.5333,0.8604,10.92,0.8604,0.5345,348
belief_mixed,64,30,51,1.7,0.8769,11.02,0.8769,0.5692,348
belief_mixed,65,30,52,1.7333,0.7849,11.04,0.7849,0.5137,348
belief_mixed,66,30,52,1.7333,0.7397,11.04,0.7397,0.4791,348
belief_mixed,67,30,60,2,0.6948,11.2,0.6948,0.6036,348
belief_mixed,68,30,56,1.8667,0.8193,11.12,0.8193,0.6086,348
belief_mixed,69,30,61,2.0333,0.7649,11.22,0.7649,0.5951,348
belief_mixed,70,30,44,1.4667,0.8193,10.88,0.8193,0.6071,348
belief_mixed,71,30,51,1.7,0.9523,11.02,0.9523,0.8205,348
belief_mixed,72,30,54,1.8,0.8052,11.08,0.8052,0.6558,348
belief_mixed,73,30,51,1.7,0.7497,11.02,0.7497,0.4926,348
belief_mixed,74,30,46,1.5333,0.5713,10.92,0.5713,0.5509,348
belief_mixed,75,30,50,1.6667,0.8442,11.0,0.8442,0.5498,348
belief_mixed,76,30,57,1.9,0.8847,11.14,0.8847,0.5348,348
belief_mixed,77,30,55,1.8333,0.8339,11.1,0.8339,0.5468,348
belief_mixed,78,30,54,1.8,0.7611,11.08,0.7611,0.5219,348
belief_mixed,79,30,60,2,0.7428,11.2,0.7428,0.5909,348
belief_mixed,80,30,56,1.8667,0.6288,11.12,0.6288,0.4643,348
belief_mixed,81,30,51,1.7,0.7497,11.02,0.7497,0.5117,348
belief_mixed,82,30,54,1.8,0.7144,11.08,0.7144,0.4898,348
belief_mixed,83,30,60,2,0.7878,11.2,0.7878,0.6572,348
belief_mixed,84,30,52,1.7333,0.6397,11.04,0.6397,0.4783,348
belief_mixed,85,30,49,1.6333,0.7649,10.98,0.7649,0.4925,348
belief_mixed,86,30,52,1.7333,0.6915,11.04,0.6915,0.4713,348
belief_mixed,87,30,53,1.7667,0.8584,11.06,0.8584,0.5658,348
belief_mixed,88,30,49,1.6333,0.8899,10.98,0.8899,0.5774,348
belief_mixed,89,30,55,1.8333,0.8339,11.1,0.8339,0.6272,348
belief_mixed,90,30,62,2.0667,0.6915,11.24,0.6915,0.5967,348
belief_mixed,91,30,51,1.7,0.6513,11.02,0.6513,0.4703,348
belief_mixed,92,30,56,1.8667,0.7761,11.12,0.7761,0.4059,348
belief_mixed,93,30,53,1.7667,0.7739,11.06,0.7739,0.4723,348
belief_mixed,94,30,59,1.9667,0.7649,11.18,0.7649,0.4769,348
belief_mixed,95,30,54,1.8,0.8469,11.08,0.8469,0.5956,348
belief_mixed,96,30,53,1.7667,0.8584,11.06,0.8584,0.4471,348
belief_mixed,97,30,49,1.6333,0.7649,10.98,0.7649,0.4485,348
belief_mixed,98,30,56,1.8667,0.7761,11.12,0.7761,0.4933,348
belief_mixed,99,30,55,1.8333,0.7466,11.1,0.7466,0.4568,348
belief_mixed,100,30,51,1.7,0.6513,11.02,0.6513,0.5437,348
belief_mixed,101,30,52,1.7333,0.9072,11.04,0.9072,0.5568,348
belief_mixed,102,30,57,1.9,0.7589,11.14,0.7589,0.4647,348
belief_mixed,103,30,55,1.8333,0.7466,11.1,0.7466,0.469,348
belief_mixed,104,30,58,1.9333,0.7397,11.16,0.7397,0.5262,348
belief_mixed,105,30,57,1.9,0.803,11.14,0.803,0.5749,348
belief_mixed,106,30,50,1.6667,0.7112,11.0,0.7112,0.6016,348
belief_mixed,107,30,56,1.8667,0.8996,11.12,0.8996,0.5635,348
belief_mixed,108,30,60,2,0.6948,11.2,0.6948,0.4451,348
belief_mixed,109,30,54,1.8,0.7611,11.08,0.7611,0.4543,348
belief_mixed,110,30,49,1.6333,0.8087,10.98,0.8087,0.5142,348
belief_mixed,111,30,54,1.8,0.6644,11.08,0.6644,0.5229,348
belief_mixed,112,30,58,1.9333,0.7397,11.16,0.7397,0.5098,348
belief_mixed,113,30,57,1.9,0.712,11.14,0.712,0.5891,348
belief_mixed,114,30,49,1.6333,0.8087,10.98,0.8087,0.5029,348
belief_mixed,115,30,54,1.8,0.7611,11.08,0.7611,0.5336,348
belief_mixed,116,30,61,2.0333,0.7649,11.22,0.7649,0.4234,348
belief_mixed,117,30,49,1.6333,0.8087,10.98,0.8087,0.4965,348
belief_mixed,118,30,57,1.9,0.712,11.14,0.712,0.514,348
belief_mixed,119,30,53,1.7667,0.8584,11.06,0.8584,0.6188,348
belief_mixed,120,30,49,1.6333,0.7184,10.98,0.7184,0.5116,348
belief_mixed,121,30,49,1.6333,0.7649,10.98,0.7649,0.5577,348
belief_mixed,122,30,54,1.8,0.9248,11.08,0.9248,0.5059,348
belief_mixed,123,30,55,1.8333,0.7466,11.1,0.7466,0.5732,348
belief_mixed,124,30,51,1.7,0.7944,11.02,0.7944,0.5184,348
belief_mixed,125,30,57,1.9,0.712,11.14,0.712,0.5257,348
belief_mixed,126,30,55,1.8333,0.6989,11.1,0.6989,0.4629,348
belief_mixed,127,30,52,1.7333,0.8277,11.04,0.8277,0.4816,348
belief_mixed,128,30,47,1.5667,0.7739,10.94,0.7739,0.5039,348
belief_mixed,129,30,54,1.8,0.7611,11.08,0.7611,0.6193,348
belief_mixed,130,30,52,1.7333,0.7397,11.04,0.7397,0.5408,348
belief_mixed,131,30,54,1.8,0.9248,11.08,0.9248,0.6217,348
belief_mixed,132,30,56,1.8667,0.9371,11.12,0.9371,0.6566,348
belief_mixed,133,30,53,1.7667,0.8584,11.06,0.8584,0.5116,348
belief_mixed,134,30,54,1.8,0.7611,11.08,0.7611,0.4989,348
belief_mixed,135,30,55,1.8333,0.7466,11.1,0.7466,0.5158,348
belief_mixed,136,30,57,1.9,0.7589,11.14,0.7589,0.6967,348
belief_mixed,137,30,51,1.7,0.8367,11.02,0.8367,0.5553,348
belief_mixed,138,30,58,1.9333,0.9072,11.16,0.9072,0.5721,348
belief_mixed,139,30,49,1.6333,0.8503,10.98,0.8503,0.5072,348
belief_mixed,140,30,56,1.8667,0.9371,11.12,0.9371,0.5677,348
belief_mixed,141,30,52,1.7333,0.5833,11.04,0.5833,0.3954,348
belief_mixed,142,30,55,1.8333,0.7466,11.1,0.7466,0.513,348
belief_mixed,143,30,51,1.7,0.8769,11.02,0.8769,0.5109,348
belief_mixed,144,30,50,1.6667,0.6609,11.0,0.6609,0.4618,348
belief_mixed,145,30,52,1.7333,0.8277,11.04,0.8277,0.4609,348
belief_mixed,146,30,56,1.8667,0.8996,11.12,0.8996,0.4859,348
belief_mixed,147,30,48,1.6,0.855,10.96,0.855,0.5311,348
belief_mixed,148,30,50,1.6667,0.6609,11.0,0.6609,0.4232,348
belief_mixed,149,30,50,1.6667,0.9589,11.0,0.9589,0.4785,348
belief_mixed,150,30,55,1.8333,0.9855,11.1,0.9855,0.528,348
belief_mixed,151,30,54,1.8,0.8469,11.08,0.8469,0.5856,348
belief_mixed,152,30,52,1.7333,0.6915,11.04,0.6915,0.576,348
belief_mixed,153,30,49,1.6333,0.7649,10.98,0.7649,0.4967,348
belief_mixed,154,30,53,1.7667,0.7279,11.06,0.7279,0.3959,348
belief_mixed,155,30,57,1.9,0.6618,11.14,0.6618,0.5184,348
belief_mixed,156,30,56,1.8667,0.7303,11.12,0.7303,0.4692,348
belief_mixed,157,30,53,1.7667,0.9353,11.06,0.9353,0.5307,348
belief_mixed,158,30,58,1.9333,0.5833,11.16,0.5833,0.4952,348
belief_mixed,159,30,58,1.9333,0.6397,11.16,0.6397,0.5524,348
belief_mixed,160,30,48,1.6,0.6747,10.96,0.6747,0.4127,348
belief_mixed,161,30,62,2.0667,0.5833,11.24,0.5833,0.4418,348
belief_mixed,162,30,54,1.8,0.6644,11.08,0.6644,0.433,348
belief_mixed,163,30,51,1.7,0.6513,11.02,0.6513,0.4673,348
belief_mixed,164,30,60,2,0.7428,11.2,0.7428,0.4529,348
belief_mixed,165,30,54,1.8,0.6644,11.08,0.6644,0.3804,348
belief_mixed,166,30,47,1.5667,0.7739,10.94,0.7739,0.5458,348
belief_mixed,167,30,49,1.6333,0.6687,10.98,0.6687,0.3399,348
belief_mixed,168,30,58,1.9333,0.6397,11.16,0.6397,0.5384,348
belief_mixed,169,30,52,1.7333,0.8683,11.04,0.8683,0.4836,348
belief_mixed,170,30,48,1.6,0.7701,10.96,0.7701,0.5344,348
belief_mixed,171,30,48,1.6,0.8137,10.96,0.8137,0.5257,348
belief_mixed,172,30,52,1.7333,0.6397,11.04,0.6397,0.5043,348
belief_mixed,173,30,52,1.7333,0.9803,11.04,0.9803,0.5891,348
belief_mixed,174,30,55,1.8333,0.8743,11.1,0.8743,0.4577,348
belief_mixed,175,30,49,1.6333,0.7184,10.98,0.7184,0.5942,348
belief_mixed,176,30,53,1.7667,0.8172,11.06,0.8172,0.5018,348
belief_mixed,177,30,56,1.8667,0.8193,11.12,0.8193,0.5958,348
belief_mixed,178,30,60,2,0.6433,11.2,0.6433,0.4729,348
belief_mixed,179,30,51,1.7,0.8367,11.02,0.8367,0.53,348
belief_mixed,180,30,55,1.8333,0.6477,11.1,0.6477,0.4724,348
belief_mixed,181,30,60,2,0.6948,11.2,0.6948,0.5178,348
belief_mixed,182,30,49,1.6333,0.6687,10.98,0.6687,0.5495,348
belief_mixed,183,30,62,2.0667,0.8277,11.24,0.8277,0.5405,348
belief_mixed,184,30,57,1.9,0.803,11.14,0.803,0.518,348
belief_mixed,185,30,50,1.6667,0.8023,11.0,0.8023,0.6017,348
belief_mixed,186,30,58,1.9333,0.7397,11.16,0.7397,0.5902,348
belief_mixed,187,30,58,1.9333,0.9072,11.16,0.9072,0.6215,348
belief_mixed,188,30,51,1.7,0.7497,11.02,0.7497,0.5849,348
belief_mixed,189,30,56,1.8667,0.6814,11.12,0.6814,0.4435,348
belief_mixed,190,30,62,2.0667,0.6397,11.24,0.6397,0.5473,348
belief_mixed,191,30,52,1.7333,0.7397,11.04,0.7397,0.485,348
belief_mixed,192,30,51,1.7,0.7944,11.02,0.7944,0.4631,348
belief_mixed,193,30,58,1.9333,0.7849,11.16,0.7849,0.5461,348
belief_mixed,194,30,55,1.8333,0.8339,11.1,0.8339,0.5759,348
belief_mixed,195,30,63,2.1,0.7589,11.26,0.7589,0.6134,348
belief_mixed,196,30,52,1.7333,0.8277,11.04,0.8277,0.5581,348
belief_mixed,197,30,56,1.8667,0.6814,11.12,0.6814,0.4847,348
belief_mixed,198,30,54,1.8,0.8867,11.08,0.8867,0.6022,348
belief_mixed,199,30,56,1.8667,0.7761,11.12,0.7761,0.4438,348
belief_mixed,200,30,55,1.8333,0.9855,11.1,0.9855,0.5585,348
