condition,round_id,agent_id,agent_type,contribution,payoff,group_total_contribution,group_average_contribution,reasoning_summary,api_error
belief_mixed,1,A001,BeliefBasedAgent,8,10.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A002,BeliefBasedAgent,7,11.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A003,ConditionalAgent,5,13.48,159,5.3,Rule: conditional cooperation based on recent group behavior.,
belief_mixed,1,A004,TitForTatAgent,7,11.48,159,5.3,Rule: match previous average contribution of others.,
belief_mixed,1,A005,DefectorAgent,2,16.48,159,5.3,Rule: mostly free-ride.,
belief_mixed,1,A006,BeliefBasedAgent,5,13.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A007,BeliefBasedAgent,8,10.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A008,ConditionalAgent,6,12.48,159,5.3,Rule: conditional cooperation based on recent group behavior.,
belief_mixed,1,A009,TitForTatAgent,7,11.48,159,5.3,Rule: match previous average contribution of others.,
belief_mixed,1,A010,DefectorAgent,2,16.48,159,5.3,Rule: mostly free-ride.,
belief_mixed,1,A011,BeliefBasedAgent,6,12.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A012,BeliefBasedAgent,5,13.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A013,ConditionalAgent,5,13.48,159,5.3,Rule: conditional cooperation based on recent group behavior.,
belief_mixed,1,A014,TitForTatAgent,5,13.48,159,5.3,Rule: match previous average contribution of others.,
belief_mixed,1,A015,DefectorAgent,2,16.48,159,5.3,Rule: mostly free-ride.,
belief_mixed,1,A016,BeliefBasedAgent,6,12.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A017,BeliefBasedAgent,7,11.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A018,ConditionalAgent,8,10.48,159,5.3,Rule: conditional cooperation based on recent group behavior.,
belief_mixed,1,A019,TitForTatAgent,6,12.48,159,5.3,Rule: match previous average contribution of others.,
belief_mixed,1,A020,DefectorAgent,1,17.48,159,5.3,Rule: mostly free-ride.,
belief_mixed,1,A021,BeliefBasedAgent,8,10.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A022,BeliefBasedAgent,8,10.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A023,ConditionalAgent,5,13.48,159,5.3,Rule: conditional cooperation based on recent group behavior.,
belief_mixed,1,A024,TitForTatAgent,5,13.48,159,5.3,Rule: match previous average contribution of others.,
belief_mixed,1,A025,DefectorAgent,2,16.48,159,5.3,Rule: mostly free-ride.,
belief_mixed,1,A026,BeliefBasedAgent,5,13.48,159,5.3,Initial belief: moderate cooperation expected.,
belief_mixed,1,A027,BeliefBasedAgent,5,13.48,159,5.3,Initial belief: moderate cooperation expected.,
