condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
llm_notom_mixed,1,30,159,5.3,2.7436,13.18,2.7436,2.269,290
llm_notom_mixed,2,30,156,5.2,2.2345,13.12,2.2345,1.7828,290
llm_notom_mixed,3,30,172,5.7333,2.4486,13.44,2.4486,1.2293,290
llm_notom_mixed,4,30,162,5.4,2.2376,13.24,2.2376,0.9736,290
llm_notom_mixed,5,30,165,5.5,2.3007,13.3,2.3007,0.8491,290
llm_notom_mixed,6,30,160,5.3333,2.4682,13.2,2.4682,0.851,290
llm_notom_mixed,7,30,157,5.2333,2.1445,13.14,2.1445,0.767,290
llm_notom_mixed,8,30,162,5.4,2.0274,13.24,2.0274,0.9149,290
llm_notom_mixed,9,30,156,5.2,2.5515,13.12,2.5515,0.8744,290
llm_notom_mixed,10,30,165,5.5,2.5563,13.3,2.5563,0.9919,290
llm_notom_mixed,11,30,156,5.2,2.6314,13.12,2.6314,1.181,290
llm_notom_mixed,12,30,167,5.5667,2.4591,13.34,2.4591,0.9051,290
llm_notom_mixed,13,30,159,5.3,2.3947,13.18,2.3947,1.1413,290
llm_notom_mixed,14,30,138,4.6,2.1909,12.76,2.1909,0.9564,290
llm_notom_mixed,15,30,150,5,2.7292,13.0,2.7292,1.2049,290
llm_notom_mixed,16,30,160,5.3333,2.5775,13.2,2.5775,1.1026,290
llm_notom_mixed,17,30,147,4.9,2.3096,12.94,2.3096,0.9659,290
llm_notom_mixed,18,30,161,5.3667,2.5255,13.22,2.5255,0.9888,290
llm_notom_mixed,19,30,154,5.1333,2.193,13.08,2.193,0.989,290
llm_notom_mixed,20,30,158,5.2667,2.4059,13.16,2.4059,1.0825,263
llm_notom_mixed,21,30,161,5.3667,2.5391,13.22,2.5391,0.8971,290
llm_notom_mixed,22,30,151,5.0333,2.6715,13.02,2.6715,0.9683,290
llm_notom_mixed,23,30,161,5.3667,2.1732,13.22,2.1732,0.698,290
llm_notom_mixed,24,30,149,4.9667,2.498,12.98,2.498,1.2039,290
llm_notom_mixed,25,30,169,5.6333,2.5391,13.38,2.5391,0.9043,290
llm_notom_mixed,26,30,159,5.3,2.6017,13.18,2.6017,1.0266,290
llm_notom_mixed,27,30,156,5.2,2.6575,13.12,2.6575,0.8607,290
llm_notom_mixed,28,30,152,5.0667,2.4202,13.04,2.4202,0.9063,290
llm_notom_mixed,29,30,147,4.9,2.5237,12.94,2.5237,0.97,290
llm_notom_mixed,30,30,161,5.3667,2.6193,13.22,2.6193,0.75,290
llm_notom_mixed,31,30,163,5.4333,2.0625,13.26,2.0625,0.7659,290
llm_notom_mixed,32,30,155,5.1667,2.6008,13.1,2.6008,1.0022,290
llm_notom_mixed,33,30,158,5.2667,2.4626,13.16,2.4626,0.7667,290
llm_notom_mixed,34,30,174,5.8,2.3983,13.48,2.3983,0.7807,290
llm_notom_mixed,35,30,157,5.2333,2.3735,13.14,2.3735,1.1086,290
llm_notom_mixed,36,30,168,5.6,2.4719,13.36,2.4719,0.9643,290
llm_notom_mixed,37,30,163,5.4333,2.3589,13.26,2.3589,1.1153,290
llm_notom_mixed,38,30,146,4.8667,2.3302,12.92,2.3302,1.0847,290
llm_notom_mixed,39,30,163,5.4333,2.4167,13.26,2.4167,0.8775,290
llm_notom_mixed,40,30,156,5.2,2.2954,13.12,2.2954,0.6389,290
llm_notom_mixed,41,30,139,4.6333,2.4563,12.78,2.4563,1.1323,290
llm_notom_mixed,42,30,147,4.9,2.3831,12.94,2.3831,0.8424,290
llm_notom_mixed,43,30,161,5.3667,2.4842,13.22,2.4842,0.9153,290
llm_notom_mixed,44,30,158,5.2667,2.1961,13.16,2.1961,0.854,290
llm_notom_mixed,45,30,151,5.0333,2.1891,13.02,2.1891,0.6149,290
llm_notom_mixed,46,30,156,5.2,2.1075,13.12,2.1075,0.9529,290
llm_notom_mixed,47,30,152,5.0667,2.4344,13.04,2.4344,0.7225,290
llm_notom_mixed,48,30,147,4.9,2.4544,12.94,2.4544,0.6986,290
llm_notom_mixed,49,30,145,4.8333,2.4925,12.9,2.4925,0.8524,290
llm_notom_mixed,50,30,157,5.2333,2.5822,13.14,2.5822,0.8537,290
llm_notom_mixed,51,30,159,5.3,2.4516,13.18,2.4516,0.7835,290
llm_notom_mixed,52,30,165,5.5,2.4879,13.3,2.4879,1.067,290
llm_notom_mixed,53,30,155,5.1667,2.6533,13.1,2.6533,1.0984,290
llm_notom_mixed,54,30,158,5.2667,2.2581,13.16,2.2581,0.8728,290
llm_notom_mixed,55,30,148,4.9333,2.5042,12.96,2.5042,0.7664,290
llm_notom_mixed,56,30,155,5.1667,2.4507,13.1,2.4507,0.6209,290
llm_notom_mixed,57,30,168,5.6,2.2984,13.36,2.2984,1.0374,290
llm_notom_mixed,58,30,162,5.4,2.5271,13.24,2.5271,0.8804,290
llm_notom_mixed,59,30,148,4.9333,2.864,12.96,2.864,1.4385,290
llm_notom_mixed,60,30,171,5.7,2.5751,13.42,2.5751,1.0153,290
llm_notom_mixed,61,30,167,5.5667,2.6997,13.34,2.6997,0.9661,290
llm_notom_mixed,62,30,170,5.6667,2.4401,13.4,2.4401,1.2788,290
llm_notom_mixed,63,30,148,4.9333,2.6384,12.96,2.6384,1.2048,290
llm_notom_mixed,64,30,153,5.1,2.5643,13.06,2.5643,0.9717,290
llm_notom_mixed,65,30,164,5.4667,2.1292,13.28,2.1292,0.8905,290
llm_notom_mixed,66,30,162,5.4,2.1909,13.24,2.1909,0.6644,290
llm_notom_mixed,67,30,158,5.2667,2.1485,13.16,2.1485,0.8824,290
llm_notom_mixed,68,30,152,5.0667,2.2427,13.04,2.2427,0.9178,290
llm_notom_mixed,69,30,160,5.3333,2.3829,13.2,2.3829,0.9038,290
llm_notom_mixed,70,30,154,5.1333,2.2087,13.08,2.2087,1.1068,290
llm_notom_mixed,71,30,150,5,2.4635,13.0,2.4635,1.1557,290
llm_notom_mixed,72,30,153,5.1,2.1066,13.06,2.1066,0.9416,290
llm_notom_mixed,73,30,162,5.4,2.1432,13.24,2.1432,0.6172,290
llm_notom_mixed,74,30,150,5,2.1335,13.0,2.1335,0.7351,290
llm_notom_mixed,75,30,154,5.1333,2.4738,13.08,2.4738,0.9083,290
llm_notom_mixed,76,30,149,4.9667,2.5661,12.98,2.5661,0.848,290
llm_notom_mixed,77,30,162,5.4,2.4155,13.24,2.4155,0.9364,263
llm_notom_mixed,78,30,157,5.2333,1.7357,13.14,1.7357,0.6101,290
llm_notom_mixed,79,30,164,5.4667,2.4598,13.28,2.4598,1.1042,290
llm_notom_mixed,80,30,150,5,2.5596,13.0,2.5596,0.8483,290
