condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
llm_notom_mixed,A001,LLMAgent_notom,5.925,0.7252,12.5543,0.8192,0.9831,2291,79
llm_notom_mixed,A002,LLMAgent_notom,5.9625,0.7194,12.5168,0.828,0.9949,2293,79
llm_notom_mixed,A003,LLMAgent_notom,6.0375,0.7016,12.4418,0.6943,0.9957,2320,80
llm_notom_mixed,A004,LLMAgent_notom,6.075,0.6708,12.4043,0.6393,0.9967,2320,80
llm_notom_mixed,A005,LLMAgent_notom,5.975,0.7459,12.5043,0.8343,0.9934,2320,80
llm_notom_mixed,A006,LLMAgent_notom,5.9875,0.7712,12.4918,0.8075,0.9915,2320,80
llm_notom_mixed,A007,BeliefBasedAgent,6.1,0.7564,12.3793,0.8307,0.9935,2320,0
llm_notom_mixed,A008,ConditionalAgent,5.0375,0.7538,13.4418,0.7926,,0,0
llm_notom_mixed,A009,TitForTatAgent,5.25,0.4357,13.2293,0.5246,,0,0
llm_notom_mixed,A010,CooperatorAgent,8.8125,1.1261,9.6668,1.0819,,0,0
llm_notom_mixed,A011,DefectorAgent,0.9375,0.8167,17.5418,0.9027,,0,0
llm_notom_mixed,A012,RandomAgent,5.4375,3.3934,13.0418,3.1889,,0,0
llm_notom_mixed,A013,BeliefBasedAgent,6.0125,0.7203,12.4668,0.8552,0.9951,2320,0
llm_notom_mixed,A014,ConditionalAgent,4.9875,0.7025,13.4918,0.7974,,0,0
llm_notom_mixed,A015,TitForTatAgent,5.25,0.4357,13.2293,0.5246,,0,0
llm_notom_mixed,A016,CooperatorAgent,8.35,1.1374,10.1293,1.0957,,0,0
llm_notom_mixed,A017,DefectorAgent,0.9125,0.7325,17.5668,0.8483,,0,0
llm_notom_mixed,A018,RandomAgent,4.875,3.0909,13.6043,2.9724,,0,0
llm_notom_mixed,A019,BeliefBasedAgent,5.9375,0.7521,12.5418,0.7177,0.9934,2320,0
llm_notom_mixed,A020,ConditionalAgent,4.9375,0.7521,13.5418,0.7463,,0,0
llm_notom_mixed,A021,TitForTatAgent,5.275,0.5271,13.2043,0.5536,,0,0
llm_notom_mixed,A022,CooperatorAgent,8.5125,1.1362,9.9668,1.2009,,0,0
llm_notom_mixed,A023,DefectorAgent,0.975,0.8416,17.5043,0.885,,0,0
llm_notom_mixed,A024,RandomAgent,5.1125,3.1381,13.3668,2.9661,,0,0
llm_notom_mixed,A025,BeliefBasedAgent,6.05,0.7446,12.4293,0.7752,0.9937,2320,0
llm_notom_mixed,A026,ConditionalAgent,4.925,0.7252,13.5543,0.8484,,0,0
llm_notom_mixed,A027,TitForTatAgent,5.2625,0.4705,13.2168,0.5276,,0,0
llm_notom_mixed,A028,CooperatorAgent,8.5125,1.1137,9.9668,1.1629,,0,0
llm_notom_mixed,A029,DefectorAgent,0.8875,0.7955,17.5918,0.8866,,0,0
llm_notom_mixed,A030,RandomAgent,4.675,3.0885,13.8043,3.0484,,0,0
