condition,round_id,agent_id,agent_type,contribution,payoff,group_total_contribution,group_average_contribution,reasoning_summary,api_error
llm_notom_mixed,1,A001,LLMAgent_notom,5,14.6,180,6.0,"Given no history, I'm making a moderate initial contribution to balance individual and group welfare. I'm not making predictions about other agents due to lack of information.",
llm_notom_mixed,1,A002,LLMAgent_notom,5,14.6,180,6.0,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99966, Requested 1176. Please try again in 16m26.688s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_notom_mixed,1,A003,LLMAgent_notom,7,12.6,180,6.0,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99959, Requested 2019. Please try again in 28m28.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_notom_mixed,1,A004,LLMAgent_notom,7,12.6,180,6.0,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99951, Requested 2019. Please try again in 28m22.08s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_notom_mixed,1,A005,LLMAgent_notom,5,14.6,180,6.0,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99944, Requested 2019. Please try again in 28m16.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_notom_mixed,1,A006,LLMAgent_notom,8,11.6,180,6.0,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99936, Requested 2019. Please try again in 28m9.12s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_notom_mixed,1,A007,BeliefBasedAgent,6,13.6,180,6.0,Initial belief: moderate cooperation expected.,
llm_notom_mixed,1,A008,ConditionalAgent,7,12.6,180,6.0,Rule: conditional cooperation based on recent group behavior.,
llm_notom_mixed,1,A009,TitForTatAgent,6,13.6,180,6.0,Rule: match previous average contribution of others.,
llm_notom_mixed,1,A010,CooperatorAgent,8,11.6,180,6.0,Rule: mostly cooperate.,
