condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
llm_tom_mixed,1,30,159,5.3,2.7436,13.18,2.7436,2.2527,273
llm_tom_mixed,2,30,155,5.1667,2.2296,13.1,2.2296,1.7517,290
llm_tom_mixed,3,30,172,5.7333,2.4486,13.44,2.4486,1.2448,290
llm_tom_mixed,4,30,161,5.3667,2.2203,13.22,2.2203,0.9531,290
llm_tom_mixed,5,30,166,5.5333,2.3154,13.32,2.3154,0.8957,290
llm_tom_mixed,6,30,161,5.3667,2.4703,13.22,2.4703,0.8262,290
llm_tom_mixed,7,30,155,5.1667,2.1186,13.1,2.1186,0.7565,290
llm_tom_mixed,8,30,162,5.4,2.0274,13.24,2.0274,0.9239,290
llm_tom_mixed,9,30,158,5.2667,2.5722,13.16,2.5722,0.8744,290
llm_tom_mixed,10,30,163,5.4333,2.5418,13.26,2.5418,0.9994,290
llm_tom_mixed,11,30,153,5.1,2.6307,13.06,2.6307,1.1316,290
llm_tom_mixed,12,30,166,5.5333,2.4457,13.32,2.4457,0.8717,290
llm_tom_mixed,13,30,159,5.3,2.3947,13.18,2.3947,1.1592,290
llm_tom_mixed,14,30,139,4.6333,2.2203,12.78,2.2203,0.95,290
llm_tom_mixed,15,30,151,5.0333,2.7353,13.02,2.7353,1.1522,290
llm_tom_mixed,16,30,160,5.3333,2.5775,13.2,2.5775,1.0924,290
llm_tom_mixed,17,30,147,4.9,2.3096,12.94,2.3096,0.9557,290
llm_tom_mixed,18,30,159,5.3,2.5072,13.18,2.5072,0.9709,290
llm_tom_mixed,19,30,155,5.1667,2.2141,13.1,2.2141,1.0021,290
llm_tom_mixed,20,30,160,5.3333,2.4259,13.2,2.4259,1.0889,290
llm_tom_mixed,21,30,159,5.3,2.5209,13.18,2.5209,0.8856,290
llm_tom_mixed,22,30,150,5,2.6523,13.0,2.6523,0.9332,290
llm_tom_mixed,23,30,161,5.3667,2.1891,13.22,2.1891,0.7567,290
llm_tom_mixed,24,30,149,4.9667,2.4842,12.98,2.4842,1.1496,290
llm_tom_mixed,25,30,170,5.6667,2.5506,13.4,2.5506,0.9353,290
llm_tom_mixed,26,30,159,5.3,2.6017,13.18,2.6017,1.0226,290
llm_tom_mixed,27,30,154,5.1333,2.6357,13.08,2.6357,0.8722,290
llm_tom_mixed,28,30,155,5.1667,2.4507,13.1,2.4507,0.8675,290
llm_tom_mixed,29,30,147,4.9,2.5237,12.94,2.5237,0.974,290
llm_tom_mixed,30,30,161,5.3667,2.6193,13.22,2.6193,0.754,290
llm_tom_mixed,31,30,161,5.3667,2.0592,13.22,2.0592,0.8124,290
llm_tom_mixed,32,30,157,5.2333,2.6088,13.14,2.6088,0.9631,290
llm_tom_mixed,33,30,157,5.2333,2.4591,13.14,2.4591,0.7822,290
llm_tom_mixed,34,30,174,5.8,2.3983,13.48,2.3983,0.7807,290
llm_tom_mixed,35,30,158,5.2667,2.3916,13.16,2.3916,1.1397,290
llm_tom_mixed,36,30,168,5.6,2.4579,13.36,2.4579,0.9218,290
llm_tom_mixed,37,30,163,5.4333,2.3589,13.26,2.3589,1.1153,290
llm_tom_mixed,38,30,147,4.9,2.354,12.94,2.354,1.1158,290
