condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
llm_tom_mixed,A001,LLMAgent_tom,5.95,0.7614,12.466,0.891,0.9615,2216,76
llm_tom_mixed,A002,LLMAgent_tom,6,0.7631,12.416,0.8618,0.9709,2190,75
llm_tom_mixed,A003,LLMAgent_tom,5.95,0.7098,12.466,0.8497,0.9682,2225,76
llm_tom_mixed,A004,LLMAgent_tom,6.025,0.6931,12.391,0.736,0.9701,2191,75
llm_tom_mixed,A005,LLMAgent_tom,6.0625,0.6432,12.3535,0.6828,0.972,2216,76
llm_tom_mixed,A006,LLMAgent_tom,6,0.7291,12.416,0.8105,0.9685,2216,76
llm_tom_mixed,A007,BeliefBasedAgent,5.9875,0.7712,12.4285,0.8146,0.9599,2320,0
llm_tom_mixed,A008,ConditionalAgent,5.1125,0.763,13.3035,0.8018,,0,0
llm_tom_mixed,A009,TitForTatAgent,5.2125,0.4413,13.2035,0.5629,,0,0
llm_tom_mixed,A010,CooperatorAgent,8.575,1.0882,9.841,1.0761,,0,0
llm_tom_mixed,A011,DefectorAgent,0.95,0.7614,17.466,0.8225,,0,0
llm_tom_mixed,A012,RandomAgent,4.6125,2.923,13.8035,2.7735,,0,0
llm_tom_mixed,A013,BeliefBasedAgent,5.95,0.6917,12.466,0.8233,0.9649,2320,0
llm_tom_mixed,A014,ConditionalAgent,5.025,0.7111,13.391,0.8042,,0,0
llm_tom_mixed,A015,TitForTatAgent,5.2,0.4025,13.216,0.5421,,0,0
llm_tom_mixed,A016,CooperatorAgent,8.4375,1.1233,9.9785,1.1575,,0,0
llm_tom_mixed,A017,DefectorAgent,0.9625,0.8634,17.4535,0.9606,,0,0
llm_tom_mixed,A018,RandomAgent,4.55,2.8503,13.866,2.6831,,0,0
llm_tom_mixed,A019,BeliefBasedAgent,5.9875,0.6842,12.4285,0.7741,0.9654,2320,0
llm_tom_mixed,A020,ConditionalAgent,4.95,0.794,13.466,0.8415,,0,0
llm_tom_mixed,A021,TitForTatAgent,5.225,0.5025,13.191,0.6041,,0,0
llm_tom_mixed,A022,CooperatorAgent,8.675,1.0406,9.741,1.0561,,0,0
llm_tom_mixed,A023,DefectorAgent,1.025,0.7791,17.391,0.8925,,0,0
llm_tom_mixed,A024,RandomAgent,5.025,3.4013,13.391,3.23,,0,0
llm_tom_mixed,A025,BeliefBasedAgent,6.05,0.794,12.366,0.7503,0.9589,2320,0
llm_tom_mixed,A026,ConditionalAgent,5.0625,0.7351,13.3535,0.8387,,0,0
llm_tom_mixed,A027,TitForTatAgent,5.2,0.4025,13.216,0.5664,,0,0
llm_tom_mixed,A028,CooperatorAgent,8.3875,1.0372,10.0285,1.0408,,0,0
llm_tom_mixed,A029,DefectorAgent,0.9875,0.7875,17.4285,0.8036,,0,0
llm_tom_mixed,A030,RandomAgent,4.6625,2.9551,13.7535,2.7713,,0,0
