condition,round_id,agent_id,agent_type,contribution,payoff,group_total_contribution,group_average_contribution,reasoning_summary,api_error
llm_tom_mixed,1,A001,LLMAgent_tom,8,10.8,165,5.5,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98321, Requested 2053. Please try again in 5m23.135999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,1,A002,LLMAgent_tom,7,11.8,165,5.5,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98315, Requested 2053. Please try again in 5m17.952s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,1,A003,LLMAgent_tom,5,13.8,165,5.5,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98308, Requested 2053. Please try again in 5m11.904s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,1,A004,LLMAgent_tom,7,11.8,165,5.5,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98302, Requested 2053. Please try again in 5m6.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,1,A005,LLMAgent_tom,7,11.8,165,5.5,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98295, Requested 2053. Please try again in 5m0.672s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,1,A006,LLMAgent_tom,5,13.8,165,5.5,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98288, Requested 2053. Please try again in 4m54.623999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,1,A007,BeliefBasedAgent,8,10.8,165,5.5,Initial belief: moderate cooperation expected.,
llm_tom_mixed,1,A008,ConditionalAgent,6,12.8,165,5.5,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,1,A009,TitForTatAgent,7,11.8,165,5.5,Rule: match previous average contribution of others.,
llm_tom_mixed,1,A010,CooperatorAgent,8,10.8,165,5.5,Rule: mostly cooperate.,
llm_tom_mixed,1,A011,DefectorAgent,0,18.8,165,5.5,Rule: mostly free-ride.,
llm_tom_mixed,1,A012,RandomAgent,1,17.8,165,5.5,Rule: random contribution.,
llm_tom_mixed,1,A013,BeliefBasedAgent,5,13.8,165,5.5,Initial belief: moderate cooperation expected.,
llm_tom_mixed,1,A014,ConditionalAgent,5,13.8,165,5.5,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,1,A015,TitForTatAgent,6,12.8,165,5.5,Rule: match previous average contribution of others.,
llm_tom_mixed,1,A016,CooperatorAgent,8,10.8,165,5.5,Rule: mostly cooperate.,
llm_tom_mixed,1,A017,DefectorAgent,1,17.8,165,5.5,Rule: mostly free-ride.,
llm_tom_mixed,1,A018,RandomAgent,7,11.8,165,5.5,Rule: random contribution.,
llm_tom_mixed,1,A019,BeliefBasedAgent,6,12.8,165,5.5,Initial belief: moderate cooperation expected.,
llm_tom_mixed,1,A020,ConditionalAgent,8,10.8,165,5.5,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,1,A021,TitForTatAgent,8,10.8,165,5.5,Rule: match previous average contribution of others.,
llm_tom_mixed,1,A022,CooperatorAgent,10,8.8,165,5.5,Rule: mostly cooperate.,
llm_tom_mixed,1,A023,DefectorAgent,0,18.8,165,5.5,Rule: mostly free-ride.,
llm_tom_mixed,1,A024,RandomAgent,1,17.8,165,5.5,Rule: random contribution.,
llm_tom_mixed,1,A025,BeliefBasedAgent,8,10.8,165,5.5,Initial belief: moderate cooperation expected.,
llm_tom_mixed,1,A026,ConditionalAgent,5,13.8,165,5.5,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,1,A027,TitForTatAgent,5,13.8,165,5.5,Rule: match previous average contribution of others.,
llm_tom_mixed,1,A028,CooperatorAgent,9,9.8,165,5.5,Rule: mostly cooperate.,
llm_tom_mixed,1,A029,DefectorAgent,0,18.8,165,5.5,Rule: mostly free-ride.,
llm_tom_mixed,1,A030,RandomAgent,4,14.8,165,5.5,Rule: random contribution.,
llm_tom_mixed,2,A001,LLMAgent_tom,5,12.7333,145,4.8333,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98282, Requested 2146. Please try again in 6m9.792s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,2,A002,LLMAgent_tom,7,10.7333,145,4.8333,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98276, Requested 2146. Please try again in 6m4.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,2,A003,LLMAgent_tom,7,10.7333,145,4.8333,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98270, Requested 2146. Please try again in 5m59.424s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,2,A004,LLMAgent_tom,5,12.7333,145,4.8333,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98264, Requested 2146. Please try again in 5m54.24s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,2,A005,LLMAgent_tom,6,11.7333,145,4.8333,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98259, Requested 2146. Please try again in 5m49.919999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,2,A006,LLMAgent_tom,6,11.7333,145,4.8333,LLM call failed; used local belief-based fallback.,"Attempt 3/3: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kr3n2874fatsx8gy3vgp7whz` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98252, Requested 2146. Please try again in 5m43.872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
llm_tom_mixed,2,A007,BeliefBasedAgent,6,11.7333,145,4.8333,Belief model: expected average contribution of others is 5.41.,
llm_tom_mixed,2,A008,ConditionalAgent,5,12.7333,145,4.8333,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,2,A009,TitForTatAgent,5,12.7333,145,4.8333,Rule: match previous average contribution of others.,
llm_tom_mixed,2,A010,CooperatorAgent,10,7.7333,145,4.8333,Rule: mostly cooperate.,
llm_tom_mixed,2,A011,DefectorAgent,1,16.7333,145,4.8333,Rule: mostly free-ride.,
llm_tom_mixed,2,A012,RandomAgent,3,14.7333,145,4.8333,Rule: random contribution.,
llm_tom_mixed,2,A013,BeliefBasedAgent,7,10.7333,145,4.8333,Belief model: expected average contribution of others is 5.52.,
llm_tom_mixed,2,A014,ConditionalAgent,5,12.7333,145,4.8333,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,2,A015,TitForTatAgent,5,12.7333,145,4.8333,Rule: match previous average contribution of others.,
llm_tom_mixed,2,A016,CooperatorAgent,7,10.7333,145,4.8333,Rule: mostly cooperate.,
llm_tom_mixed,2,A017,DefectorAgent,1,16.7333,145,4.8333,Rule: mostly free-ride.,
llm_tom_mixed,2,A018,RandomAgent,2,15.7333,145,4.8333,Rule: random contribution.,
llm_tom_mixed,2,A019,BeliefBasedAgent,5,12.7333,145,4.8333,Belief model: expected average contribution of others is 5.48.,
llm_tom_mixed,2,A020,ConditionalAgent,6,11.7333,145,4.8333,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,2,A021,TitForTatAgent,5,12.7333,145,4.8333,Rule: match previous average contribution of others.,
llm_tom_mixed,2,A022,CooperatorAgent,9,8.7333,145,4.8333,Rule: mostly cooperate.,
llm_tom_mixed,2,A023,DefectorAgent,1,16.7333,145,4.8333,Rule: mostly free-ride.,
llm_tom_mixed,2,A024,RandomAgent,1,16.7333,145,4.8333,Rule: random contribution.,
llm_tom_mixed,2,A025,BeliefBasedAgent,5,12.7333,145,4.8333,Belief model: expected average contribution of others is 5.41.,
llm_tom_mixed,2,A026,ConditionalAgent,4,13.7333,145,4.8333,Rule: conditional cooperation based on recent group behavior.,
llm_tom_mixed,2,A027,TitForTatAgent,6,11.7333,145,4.8333,Rule: match previous average contribution of others.,
llm_tom_mixed,2,A028,CooperatorAgent,7,10.7333,145,4.8333,Rule: mostly cooperate.,
llm_tom_mixed,2,A029,DefectorAgent,2,15.7333,145,4.8333,Rule: mostly free-ride.,
