condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
llm_tom_mixed,1,30,165,5.5,2.8977,13.3,2.8977,2.269,290
llm_tom_mixed,2,30,145,4.8333,2.4081,12.9,2.4081,1.5966,290
llm_tom_mixed,3,30,170,5.6667,2.3391,13.4,2.3391,1.2534,290
llm_tom_mixed,4,30,161,5.3667,2.3995,13.22,2.3995,1.0191,290
llm_tom_mixed,5,30,164,5.4667,2.4738,13.28,2.4738,0.6457,290
llm_tom_mixed,6,30,149,4.9667,2.3265,12.98,2.3265,0.8359,290
llm_tom_mixed,7,30,161,5.3667,2.0592,13.22,2.0592,0.8524,290
llm_tom_mixed,8,30,147,4.9,2.3096,12.94,2.3096,0.8853,290
llm_tom_mixed,9,30,166,5.5333,2.4316,13.32,2.4316,0.9608,290
llm_tom_mixed,10,30,167,5.5667,2.5418,13.34,2.5418,1.2139,290
llm_tom_mixed,11,30,159,5.3,2.0536,13.18,2.0536,0.854,290
llm_tom_mixed,12,30,156,5.2,2.2804,13.12,2.2804,0.9637,290
llm_tom_mixed,13,30,169,5.6333,2.3851,13.38,2.3851,0.8143,265
llm_tom_mixed,14,30,157,5.2333,2.3442,13.14,2.3442,1.0357,290
llm_tom_mixed,15,30,165,5.5,2.5697,13.3,2.5697,1.0021,290
llm_tom_mixed,16,30,155,5.1667,2.1985,13.1,2.1985,1.0188,290
llm_tom_mixed,17,30,147,4.9,2.3686,12.94,2.3686,0.9357,290
llm_tom_mixed,18,30,153,5.1,2.4824,13.06,2.4824,1.0823,290
llm_tom_mixed,19,30,148,4.9333,2.3479,12.96,2.3479,0.8148,290
llm_tom_mixed,20,30,174,5.8,2.3401,13.48,2.3401,0.8333,290
llm_tom_mixed,21,30,142,4.7333,2.6121,12.84,2.6121,1.2343,290
llm_tom_mixed,22,30,160,5.3333,2.5506,13.2,2.5506,0.9789,290
llm_tom_mixed,23,30,162,5.4,2.4297,13.24,2.4297,1.0452,290
llm_tom_mixed,24,30,158,5.2667,2.5587,13.16,2.5587,1.0051,290
llm_tom_mixed,25,30,156,5.2,2.3839,13.12,2.3839,1.1141,290
llm_tom_mixed,26,30,159,5.3,1.8965,13.18,1.8965,0.6932,290
llm_tom_mixed,27,30,152,5.0667,2.3916,13.04,2.3916,0.8828,290
llm_tom_mixed,28,30,161,5.3667,2.4842,13.22,2.4842,0.7189,290
llm_tom_mixed,29,30,159,5.3,2.1679,13.18,2.1679,1.0394,290
llm_tom_mixed,30,30,141,4.7,2.6281,12.82,2.6281,0.9786,290
llm_tom_mixed,31,30,145,4.8333,2.4081,12.9,2.4081,0.8238,290
llm_tom_mixed,32,30,171,5.7,2.3216,13.42,2.3216,0.8795,290
llm_tom_mixed,33,30,170,5.6667,2.4401,13.4,2.4401,1.0539,290
llm_tom_mixed,34,30,152,5.0667,2.2427,13.04,2.2427,0.9839,290
llm_tom_mixed,35,30,154,5.1333,2.5289,13.08,2.5289,1.1124,290
llm_tom_mixed,36,30,173,5.7667,2.4167,13.46,2.4167,0.8616,290
llm_tom_mixed,37,30,171,5.7,2.5617,13.42,2.5617,0.8525,290
llm_tom_mixed,38,30,160,5.3333,2.5506,13.2,2.5506,1.095,290
llm_tom_mixed,39,30,155,5.1667,2.3501,13.1,2.3501,0.8808,290
llm_tom_mixed,40,30,153,5.1,2.3686,13.06,2.3686,0.9928,290
llm_tom_mixed,41,30,152,5.0667,2.5452,13.04,2.5452,1.098,290
llm_tom_mixed,42,30,155,5.1667,2.3057,13.1,2.3057,0.9067,290
llm_tom_mixed,43,30,155,5.1667,2.1985,13.1,2.1985,0.7701,290
llm_tom_mixed,44,30,158,5.2667,2.1162,13.16,2.1162,0.7879,290
llm_tom_mixed,45,30,140,4.6667,2.6695,12.8,2.6695,1.0805,290
llm_tom_mixed,46,30,149,4.9667,2.7604,12.98,2.7604,0.9771,290
llm_tom_mixed,47,30,157,5.2333,2.8489,13.14,2.8489,1.1967,290
llm_tom_mixed,48,30,158,5.2667,2.3771,13.16,2.3771,0.5884,290
llm_tom_mixed,49,30,166,5.5333,2.4031,13.32,2.4031,0.8716,290
llm_tom_mixed,50,30,159,5.3,2.5072,13.18,2.5072,0.9401,290
llm_tom_mixed,51,30,154,5.1333,2.7131,13.08,2.7131,1.179,290
llm_tom_mixed,52,30,159,5.3,2.3511,13.18,2.3511,0.9435,290
llm_tom_mixed,53,30,168,5.6,2.3577,13.36,2.3577,0.9549,160
llm_tom_mixed,54,30,160,5.3333,2.5371,13.2,2.5371,0.9913,134
llm_tom_mixed,55,30,154,5.1333,2.5962,13.08,2.5962,0.8967,143
llm_tom_mixed,56,30,148,4.9333,2.7156,12.96,2.7156,0.7124,134
llm_tom_mixed,57,30,164,5.4667,2.4457,13.28,2.4457,1.0286,238
llm_tom_mixed,58,30,154,5.1333,2.7004,13.08,2.7004,0.7815,290
llm_tom_mixed,59,30,150,5,2.4212,13.0,2.4212,0.891,290
llm_tom_mixed,60,30,161,5.3667,2.5391,13.22,2.5391,0.8951,290
llm_tom_mixed,61,30,161,5.3667,2.1732,13.22,2.1732,0.6567,290
llm_tom_mixed,62,30,163,5.4333,2.7503,13.26,2.7503,1.1424,290
llm_tom_mixed,63,30,162,5.4,2.0274,13.24,2.0274,0.8435,290
llm_tom_mixed,64,30,155,5.1667,2.5608,13.1,2.5608,0.9149,290
llm_tom_mixed,65,30,147,4.9,2.3096,12.94,2.3096,0.8611,290
llm_tom_mixed,66,30,155,5.1667,2.5063,13.1,2.5063,1.0638,290
llm_tom_mixed,67,30,157,5.2333,2.487,13.14,2.487,0.703,290
llm_tom_mixed,68,30,165,5.5,2.5291,13.3,2.5291,1.16,290
llm_tom_mixed,69,30,170,5.6667,2.2642,13.4,2.2642,0.8112,290
llm_tom_mixed,70,30,145,4.8333,2.7803,12.9,2.7803,1.2713,290
llm_tom_mixed,71,30,163,5.4333,2.0957,13.26,2.0957,0.8462,290
llm_tom_mixed,72,30,168,5.6,2.5944,13.36,2.5944,1.0323,290
llm_tom_mixed,73,30,158,5.2667,2.5855,13.16,2.5855,1.1342,290
llm_tom_mixed,74,30,157,5.2333,2.3879,13.14,2.3879,1.1621,290
llm_tom_mixed,75,30,155,5.1667,2.6533,13.1,2.6533,1.0423,290
llm_tom_mixed,76,30,159,5.3,2.5751,13.18,2.5751,0.836,290
llm_tom_mixed,77,30,156,5.2,2.2652,13.12,2.2652,0.7024,290
llm_tom_mixed,78,30,157,5.2333,2.3735,13.14,2.3735,0.6566,290
llm_tom_mixed,79,30,163,5.4333,2.0957,13.26,2.0957,0.7419,290
llm_tom_mixed,80,30,155,5.1667,2.5742,13.1,2.5742,0.925,290
